Feature Model,Number of Features,Number of Mandatory Features,Number of Top Features,Number of Leaf Features, Depth of Tree Max,Cognitive Complexity of Feature Model,Feature Extensibility,Flexibility of Configuration,Single Cylic Dependent Features,Multiple Cyclic Dependent Features,Number of Features Referenced in Constraints Mean,Ratio of Variability,Number of Valid Configurations,Number of Groups OR,Number of Groups XOR
Mobile media v5,15,11,2,10,3,0,10,0.2,0,0,0.0,2.8,8.0,0,0
Jogo,12,10,1,8,3,0,8,0.08333333333333333,0,0,1.0,2.75,2.0,0,0
Inmobiliaria,37,15,3,28,6,3,28,0.35135135135135137,0,0,1.0,3.25,60480.0,2,1
ClassicShell,65,3,4,48,4,14,56,0.24615384615384617,8,0,1.0,2.5161290322580645,3.592512E8,0,14
JCS,12,1,6,9,3,2,11,0.4166666666666667,0,2,0.0,2.6,96.0,1,1
Text To Speech App,34,5,7,24,5,8,26,0.11764705882352941,2,0,1.0,2.2777777777777777,267840.0,3,5
Web Game,16,6,6,9,3,2,9,0.3125,0,0,0.0,1.8888888888888888,60.0,2,0
Toko,48,15,7,32,5,7,33,0.2708333333333333,0,1,1.0,2.347826086956522,2970240.0,4,3
Mobile Media 2,43,12,15,32,5,7,34,0.23255813953488372,0,2,0.0,2.7222222222222223,2128896.0,4,3
Visual Data Graph,18,4,5,13,3,3,13,0.2222222222222222,0,0,0.0,2.5,1792.0,2,1
SIGA-lctf-fta,17,7,8,12,5,3,12,0.11764705882352941,0,0,0.0,2.375,196.0,3,0
deepak_fm,28,17,5,22,3,1,22,0.2857142857142857,0,0,0.0,4.0,512.0,0,1
Mobile Tourist Planner,10,3,4,7,3,2,7,0.1,0,0,0.0,2.2,28.0,1,1
social network applications,31,8,9,22,4,4,27,0.3870967741935484,0,5,1.0,2.6153846153846154,43200.0,4,0
Reservation,12,0,1,9,6,3,9,0.0,0,0,0.0,2.3333333333333335,9.0,0,3
Toko,19,6,5,11,4,0,11,0.631578947368421,0,0,0.0,2.25,1600.0,0,0
Monitor Engine,20,10,2,13,4,7,13,0.1,0,0,0.0,1.8571428571428572,4.0,2,5
Buzzard Radio play DB,14,2,8,12,4,4,14,0.21428571428571427,0,2,1.0,2.8333333333333335,448.0,4,0
StoreFrontSystem,22,8,7,15,6,4,15,0.18181818181818182,0,0,0.0,2.272727272727273,1216.0,4,0
Weather Station,11,2,3,7,3,3,9,0.09090909090909091,0,2,1.0,1.8571428571428572,44.0,2,1
Smartwatch,14,4,2,10,4,3,10,0.42857142857142855,0,0,0.0,2.2857142857142856,64.0,0,3
B2B Website,24,18,3,18,4,0,18,0.20833333333333334,0,0,0.0,3.8333333333333335,32.0,0,0
MiniTV,14,5,4,11,2,1,11,0.21428571428571427,0,0,0.0,3.5,248.0,1,0
Fórum de Discussão do AVA SOLAR,40,16,7,27,5,5,27,0.225,0,0,0.0,2.4444444444444446,82944.0,0,5
Modelo de Característica para Entidades Urbanas,11,1,10,10,1,0,10,0.8181818181818182,0,0,0.0,10.0,512.0,0,0
Sisgeo,16,3,3,12,4,2,14,0.125,0,2,1.0,2.8333333333333335,1337.0,2,0
Jetbrains,37,3,3,33,3,3,33,0.0,0,0,0.0,5.571428571428571,8.454168639E9,3,0
Editor de imagem,18,5,5,14,3,2,15,0.3333333333333333,1,0,1.0,3.1666666666666665,464.0,1,1
Modelo de Característica para Entidades Urbanas,11,1,10,10,1,0,10,0.8181818181818182,0,0,0.0,10.0,512.0,0,0
bCMS system,66,33,2,44,6,8,44,0.18181818181818182,0,0,0.0,2.433333333333333,552960.0,2,6
Thread,44,11,1,26,13,7,26,0.3409090909090909,0,0,0.0,2.0,80658.0,0,7
poker spl,11,3,4,7,3,1,7,0.36363636363636365,0,0,0.0,2.2,21.0,0,1
Webshop_SPLE2014_Chalmers,11,5,6,8,3,2,10,0.09090909090909091,1,1,1.0,2.4,8.0,1,1
Bike Shop,21,3,5,15,5,5,27,0.09523809523809523,9,3,0.0,2.272727272727273,70.0,1,4
LPS Robot Industrial Arduino,38,9,2,25,6,10,25,0.07894736842105263,0,0,0.0,2.0434782608695654,187488.0,4,6
SOLAR VLE Discussion Forum,40,16,7,27,5,5,36,0.225,9,0,0.0,2.4444444444444446,13056.0,0,5
Gsist,17,8,8,13,3,3,13,0.058823529411764705,0,0,0.0,2.7142857142857144,84.0,2,1
iNavBasic,15,12,6,7,3,0,7,0.13333333333333333,0,0,0.0,1.75,4.0,0,0
Mobile Media Adriano Lages,17,5,3,11,3,2,11,0.29411764705882354,0,0,0.0,2.25,420.0,1,1
AmazonEC2,35,2,3,24,6,9,29,0.14285714285714285,5,0,1.0,2.15,1758.0,0,9
HandlingSystem,11,0,4,6,8,10,6,0.0,0,0,0.0,1.3333333333333333,1.0,9,1
Simaldores de Engenharia de Software,16,4,6,11,3,4,11,0.125,0,0,0.0,2.111111111111111,96.0,0,4
Reference Management Softwares Feature Model,31,7,4,23,4,4,24,0.2903225806451613,1,0,1.0,2.8333333333333335,245760.0,3,1
PhotoSahring,76,14,4,49,8,21,49,0.06578947368421052,0,0,0.0,2.0,5.7354780672E12,16,5
Siga,19,4,3,12,4,4,16,0.15789473684210525,2,2,1.0,2.0,192.0,2,2
MobileMedia_MarinaMB,15,7,3,9,3,1,10,0.4,1,0,1.0,2.142857142857143,24.0,0,1
ProductosCredito,38,14,2,25,9,5,29,0.15789473684210525,4,0,0.0,2.3333333333333335,12636.0,0,5
Maquina de Cafe,10,2,4,7,3,2,7,0.2,0,0,0.0,2.2,36.0,1,1
Inventory,37,9,2,28,4,6,33,0.16216216216216217,0,5,1.0,2.8,2028096.0,4,2
SmartTV,96,13,16,76,4,14,76,0.1875,0,0,0.0,3.2058823529411766,4.6766358422784E16,7,7
Agent Illustration System,37,20,10,26,3,2,26,0.21621621621621623,0,0,0.0,2.923076923076923,57600.0,2,0
Bike Computer Family,32,13,5,22,5,6,28,0.125,6,0,1.0,2.3125,240.0,0,6
Dummy Car,12,4,5,9,3,3,9,0.0,0,0,0.0,2.3333333333333335,9.0,0,3
GymManager,22,9,9,15,4,2,15,0.36363636363636365,0,0,0.0,2.5555555555555554,540.0,1,1
AGORA,14,4,3,8,4,3,8,0.21428571428571427,0,0,0.0,1.7777777777777777,120.0,3,0
IDE4OCL,14,7,7,12,2,0,12,0.42857142857142855,0,0,0.0,6.5,64.0,0,0
Gophone messaging,29,13,7,20,6,2,20,0.3103448275862069,0,0,1.0,2.727272727272727,9024.0,2,0
OPEN ERP,49,35,2,46,2,0,46,0.2653061224489796,0,0,0.0,16.0,8192.0,0,0
Emergency Response Application,43,22,3,32,4,5,32,0.13953488372093023,0,0,0.0,2.9375,23040.0,4,1
Toko,72,20,9,49,5,14,49,0.19444444444444445,0,0,1.0,2.2972972972972974,4.0824E11,13,1
Address Book,12,4,5,9,2,0,9,0.5833333333333334,0,0,0.0,3.6666666666666665,72.0,0,0
User Model,14,3,7,11,3,2,13,0.2857142857142857,2,0,1.0,3.0,144.0,1,1
Smartwatch,10,2,3,6,3,3,9,0.1,2,1,0.0,1.7142857142857142,14.0,1,2
MoviesApp PL,13,4,4,7,4,3,7,0.15384615384615385,0,0,0.0,1.6666666666666667,24.0,0,3
ISI bikes,96,13,23,72,3,21,88,0.16666666666666666,11,5,1.0,2.577777777777778,3.7156231224E13,5,16
DelayBlockSemSpec,23,8,7,16,3,1,23,0.30434782608695654,7,0,0.0,2.875,41.0,0,1
Web_Portal,43,8,5,28,5,6,35,0.3953488372093023,4,3,1.0,2.2857142857142856,2120800.0,3,3
ATM Software,29,7,3,23,4,3,23,0.41379310344827586,0,0,0.0,3.4444444444444446,43008.0,1,2
FrameWorkProdemge,87,6,2,67,6,1,67,0.896551724137931,0,0,0.0,4.142857142857143,1.52539358336E11,0,1
MobiCent,45,10,6,32,5,6,32,0.3333333333333333,0,0,0.0,2.6315789473684212,1.57437E8,4,2
Test Collaboration System,16,0,5,11,3,4,12,0.4375,0,1,1.0,2.111111111111111,936.0,3,1
Mobile Phone,20,9,4,13,4,2,13,0.3,0,0,1.0,2.3333333333333335,162.0,1,1
Android51_Contrast,41,12,3,25,7,5,25,0.12195121951219512,0,0,0.0,2.142857142857143,13200.0,0,5
Eshop-ufrj,12,3,4,8,3,3,8,0.08333333333333333,0,0,0.0,2.0,48.0,2,1
Mobile Games,16,1,6,9,3,1,13,0.625,0,4,15.0,2.0,3645.0,1,0
Minimalistic PC Feature Model,10,4,4,7,3,2,11,0.1,4,0,1.0,2.2,4.0,0,2
Basic Text Editor,17,9,6,13,2,0,13,0.4117647058823529,0,0,0.0,4.0,96.0,0,0
Mobile media v6,18,13,2,12,3,0,12,0.2222222222222222,0,0,0.0,2.8333333333333335,16.0,0,0
GoPhone,77,40,18,57,5,1,57,0.44155844155844154,0,0,0.0,3.6666666666666665,1.70366976E9,0,1
modelo mobilemedia,16,10,3,10,3,1,11,0.1875,1,0,1.0,2.2857142857142856,12.0,0,1
TrafficLight,44,12,10,31,5,10,39,0.0,3,5,0.0,2.3043478260869565,97200.0,2,8
ProfileItems,78,0,13,66,3,12,104,0.1794871794871795,25,13,2.0,3.7083333333333335,8.044546587E11,9,3
Feature Model for T-mall,40,25,8,31,5,4,33,0.075,0,2,1.0,3.3076923076923075,2352.0,4,0
Search_Engine_PL,14,2,4,10,4,2,11,0.35714285714285715,1,0,1.0,2.5,126.0,1,1
Ubuntu1410_TextSize,13,0,2,4,7,1,4,0.7692307692307693,0,0,0.0,1.3,60.0,0,1
SmartPhone Device,17,4,7,12,3,4,17,0.17647058823529413,5,0,2.0,2.2222222222222223,192.0,0,4
Mobile Phone Software,10,2,4,7,3,2,10,0.2,2,1,1.0,2.2,14.0,1,1
MarketPlace-Sample,13,10,4,10,2,0,10,0.15384615384615385,0,0,0.0,4.0,3.0,0,0
Autosoft,10,0,2,6,3,0,6,0.9,0,0,0.0,2.25,122.0,0,0
MayaModel,57,31,8,38,5,7,39,0.15789473684210525,1,0,1.0,2.423076923076923,206976.0,4,3
G10-music player,13,6,2,11,2,1,11,0.0,0,0,0.0,4.333333333333333,63.0,1,0
tool analysis,31,1,9,19,5,8,19,0.3548387096774194,0,0,0.0,1.9,184320.0,5,3
VMS,15,3,9,12,4,6,12,0.2,0,0,0.0,2.2222222222222223,44.0,4,2
WebApp,10,1,4,7,3,0,7,0.8,0,0,0.0,3.0,160.0,0,0
Phone,10,2,4,7,2,0,7,0.7,0,0,1.0,3.0,46.0,0,0
Database Tool,40,6,10,32,3,7,32,0.175,0,0,0.0,3.066666666666667,1.0411968E8,5,2
TiendaEnLinea,24,5,8,20,3,2,20,0.5,0,0,1.0,4.166666666666667,15872.0,1,1
Speech Recognition,75,31,3,52,7,13,52,0.05333333333333334,0,0,0.0,2.4166666666666665,652800.0,0,13
Alarm System,13,2,6,10,3,4,12,0.15384615384615385,1,1,1.0,2.2857142857142856,42.0,2,2
Plone Meeting,57,13,7,41,4,9,41,0.22807017543859648,0,0,0.0,2.6,8.77658112E9,5,4
Buscame,12,3,3,8,3,3,8,0.0,0,0,0.0,2.0,18.0,0,3
Text_Editor,18,6,2,10,4,1,10,0.4444444444444444,0,0,0.0,2.0,396.0,0,1
Monitor_Engine_System,17,10,2,11,4,2,12,0.058823529411764705,0,1,1.0,2.25,28.0,1,1
Student Attendance System,23,5,5,17,3,5,21,0.0,2,2,1.0,2.4545454545454546,15210.0,3,2
Tree Stem Deformation Simulator,43,13,9,28,5,10,33,0.046511627906976744,0,5,0.0,2.08,1202985.0,10,0
Equipo 6 - Uniandes - MP,62,43,7,49,4,2,49,0.20967741935483872,0,0,0.0,4.2,18624.0,0,2
Ubuntu1410_Contrast,43,6,4,25,7,5,25,0.27906976744186046,0,0,0.0,2.0434782608695654,13680.0,0,5
USECASE_Test,64,3,7,52,5,11,56,0.0625,3,1,1.0,3.217391304347826,2795520.0,3,8
SEPFeatureModel,33,10,7,21,4,2,21,0.6060606060606061,0,0,0.0,2.4285714285714284,52500.0,0,2
DATABASE_TOOLS,70,3,15,60,3,7,66,0.2857142857142857,5,1,2.0,4.470588235294118,9.8366227231014912E16,6,1
Software Stack,37,1,2,25,8,11,37,0.05405405405405406,9,3,1.0,2.0434782608695654,17073.0,3,8
drupal sawsen,10,3,4,5,5,3,6,0.3,0,1,1.0,1.5,8.0,1,2
Mobile Tourist Planner,10,3,4,7,3,2,7,0.1,0,0,0.0,2.2,28.0,1,1
ISA11/12_pgr,19,5,6,13,3,4,20,0.15789473684210525,6,1,1.0,2.2,72.0,1,3
MiniRPG,13,8,2,7,3,0,7,0.3076923076923077,0,0,0.0,2.0,16.0,0,0
ebay,40,13,14,30,5,8,32,0.05,1,1,1.0,2.611111111111111,2103120.0,6,2
MobileApps Multiplatform,29,5,3,23,4,2,30,0.41379310344827586,3,4,0.0,3.75,355688.0,1,1
Video Player,53,14,6,33,5,9,33,0.32075471698113206,0,0,1.0,2.103448275862069,8.4446208E8,9,0
Connector PL,20,4,2,10,9,7,10,0.05,0,0,0.0,1.5294117647058822,18.0,1,6
IntelligentTutoringSystem,12,3,4,8,3,2,8,0.3333333333333333,0,0,1.0,2.1666666666666665,84.0,2,0
Audio Player,15,9,2,9,4,1,9,0.2,0,0,0.0,2.142857142857143,12.0,0,1
E-science application,61,1,3,43,8,16,46,0.11475409836065574,1,2,1.0,2.235294117647059,4.7185922E8,5,11
Eclipse Platform,29,0,4,20,5,3,20,0.6896551724137931,0,0,1.0,2.5833333333333335,983150.0,3,0
Stack PL,17,2,5,11,4,4,11,0.23529411764705882,0,0,0.0,2.0,432.0,1,3
Jogo de Tiros,37,18,12,25,4,6,40,0.08108108108108109,13,2,36.0,2.3333333333333335,1296.0,1,5
Online Bookstore,25,6,3,16,5,6,18,0.12,0,2,1.0,2.0,3168.0,3,3
Adempiere,43,36,3,32,4,0,32,0.13953488372093023,0,0,0.0,3.8181818181818183,64.0,0,0
E-commerce system,53,44,7,35,8,4,35,0.05660377358490566,0,0,0.0,2.5454545454545454,18.0,1,3
JCalc_LPS,22,5,7,17,3,3,17,0.2727272727272727,0,0,0.0,3.0,1152.0,0,3
OW2-FraSCAti-1.4,63,18,8,48,5,2,48,0.6190476190476191,0,0,0.0,3.764705882352941,1.6840776E9,0,2
MarketplaceMiso,35,21,6,28,2,0,28,0.37142857142857144,0,0,0.0,4.857142857142857,6144.0,0,0
Devolution,32,10,7,20,7,4,20,0.375,0,0,0.0,2.1875,34632.0,3,1
mac,39,1,10,28,8,5,28,0.5641025641025641,0,0,0.0,2.6875,7302400.0,0,5
IDE4OCL,18,7,7,15,4,1,15,0.3888888888888889,0,0,0.0,4.5,896.0,1,0
Assistente de Compras,11,4,4,6,4,2,6,0.18181818181818182,0,0,0.0,1.7142857142857142,24.0,1,1
Prontuário Eletrônico de Pacientes,10,5,4,6,2,0,6,0.4,0,0,0.0,2.25,10.0,0,0
Experiment environment,35,1,2,29,4,6,57,0.0,9,19,1.0,3.3333333333333335,2326875.0,5,1
Software-Product,19,9,9,12,2,0,12,0.47368421052631576,0,0,0.0,2.5714285714285716,512.0,0,0
Key_Word_In_Context_index_systems,25,8,4,16,4,6,19,0.08,3,0,0.0,2.0,240.0,1,5
VOTE4ME Serveur,23,5,5,15,7,7,15,0.0,0,0,0.0,1.9333333333333333,810.0,4,3
Bike Computer Release,36,30,5,22,6,0,22,0.1388888888888889,0,0,1.0,2.5,8.0,0,0
MyHolidays,13,3,5,9,3,3,9,0.15384615384615385,0,0,0.0,2.142857142857143,112.0,1,2
E-science application,61,1,3,43,8,16,43,0.11475409836065574,0,0,0.0,2.235294117647059,7.5497474E8,5,11
Navigation Protocol,16,7,6,11,4,3,11,0.0625,0,0,0.0,2.25,56.0,2,1
DeReTiYo,31,11,8,23,4,5,23,0.16129032258064516,0,0,0.0,2.6923076923076925,11520.0,2,3
GMF_Eclipse_Reuso_UFRJ,25,23,6,18,2,0,18,0.04,0,0,0.0,3.4285714285714284,2.0,0,0
ebay,40,13,14,30,5,8,32,0.05,1,1,1.0,2.611111111111111,2103120.0,6,2
Swap MArketplace,43,26,7,34,3,0,34,0.37209302325581395,0,0,1.0,4.666666666666667,2376.0,0,0
Graph Product Line,17,2,4,12,3,4,22,0.11764705882352941,4,6,0.0,2.2222222222222223,79.0,1,3
RTBB,29,11,5,19,4,5,19,0.034482758620689655,0,0,0.0,2.2,44100.0,4,1
DelayBlockSemSpec,23,8,7,16,3,1,23,0.30434782608695654,7,0,0.0,2.875,41.0,0,1
Premium1Nemocon,32,4,8,21,5,10,21,0.125,0,0,0.0,1.9523809523809523,1128960.0,7,3
J2EE web architecture,77,27,17,46,5,11,46,0.35064935064935066,0,0,0.0,2.0714285714285716,1.81398528E10,4,7
HybridCar,10,1,1,8,3,1,8,0.0,0,0,0.0,3.3333333333333335,255.0,1,0
Android60_TextSize,10,2,2,5,4,1,5,0.3,0,0,0.0,1.6666666666666667,16.0,0,1
SPL SimulES- PnP,59,18,3,38,5,14,38,0.13559322033898305,0,0,0.0,2.057142857142857,4.1140224E7,1,13
Mobile Media,13,5,3,8,3,2,10,0.15384615384615385,1,1,1.0,2.0,24.0,1,1
Middle Office,16,14,5,10,3,0,10,0.0625,0,0,0.0,2.5,2.0,0,0
Counter Strike Simple Feature Model,24,4,3,17,4,5,20,0.125,0,3,1.0,2.3333333333333335,18176.0,5,0
